Enrollment,Name,Father,Gender,Department,DOB,Address,Total,Average,Percentage,CGPA
ENR001,Christian,Shawn,Female,BBA,2006-02-08,"94023 Brian Underpass Apt. 519, Lake Maryland, NM 24871",434,86.8,86.8,3.47
ENR002,Justin,David,Female,CE,2006-11-29,"PSC 1689, Box 2238, APO AA 52439",477,95.4,95.4,3.82
ENR003,Rebecca,Heather,Male,ME,2001-03-05,"00136 Black Rest Apt. 196, Heatherborough, WV 51529",450,90.0,90.0,3.6
ENR004,Rhonda,Heather,Female,IT,2007-06-17,"PSC 3513, Box 3321, APO AE 42448",475,95.0,95.0,3.8
ENR005,Paul,Mary,Male,BBA,2005-02-15,"49694 Blackwell Shoals Apt. 801, North David, AK 39877",456,91.2,91.2,3.65
ENR006,Kenneth,Brittany,Male,IT,2004-03-19,"5055 Thompson Field Apt. 183, Lake Tylershire, WY 01258",427,85.4,85.4,3.42
ENR007,Sarah,Erik,Male,IT,2000-12-21,"67797 Bailey River, Jennifermouth, MO 69980",408,81.6,81.6,3.26
ENR008,Thomas,Madison,Male,IT,2002-07-01,"PSC 4354, Box 4522, APO AA 61451",468,93.6,93.6,3.74
ENR009,Karen,Gregory,Female,IT,2002-10-28,"4494 Mathew Forest Suite 254, Joshuaside, NH 80339",468,93.6,93.6,3.74
ENR010,Kristin,Rebecca,Female,IT,2001-02-20,"30435 Shelby Green, Lake Charlesburgh, AK 21224",441,88.2,88.2,3.53
ENR011,Justin,Vanessa,Male,CE,2003-04-13,"112 Emily Circle, New Claudia, CO 14388",434,86.8,86.8,3.47
ENR012,Jessica,Ricky,Male,BBA,2001-09-11,"355 Joshua Tunnel Apt. 422, New David, MO 80185",458,91.6,91.6,3.66
ENR013,Charles,Catherine,Male,EE,2005-09-04,"6743 Stafford Ford Suite 593, Murilloton, CO 77506",407,81.4,81.4,3.26
ENR014,Robert,Stacey,Female,BBA,2006-05-20,"9937 Erika Rest, North Whitneychester, IL 49968",458,91.6,91.6,3.66
ENR015,Kimberly,Abigail,Female,EE,2002-01-31,"8621 Sharon Pine, Birdmouth, CT 65421",429,85.8,85.8,3.43
ENR016,David,Kimberly,Male,CE,2007-02-28,"2364 Joyce Hill, Lake Jerryview, NJ 33609",407,81.4,81.4,3.26
ENR017,Eric,Denise,Male,ME,2004-09-25,"USNV Cruz, FPO AA 33535",410,82.0,82.0,3.28
ENR018,Bill,Valerie,Male,EE,2003-12-07,"Unit 3986 Box 3165, DPO AE 70598",450,90.0,90.0,3.6
ENR019,Theresa,Curtis,Female,ME,2004-12-28,"584 Carr Springs, West Elizabethberg, ID 87466",499,99.8,99.8,3.99
ENR020,Melissa,Lisa,Male,CE,2006-08-03,"68727 Shelly Tunnel, Brittanymouth, NY 89386",466,93.2,93.2,3.73
ENR021,Nicole,Chad,Female,CS,2000-05-23,"51413 Thomas Lake, Cervantesmouth, MN 78250",437,87.4,87.4,3.5
ENR022,Amy,John,Female,IT,2000-08-05,"12511 James Alley Suite 913, North Marieborough, LA 39200",406,81.2,81.2,3.25
ENR023,Thomas,Tommy,Female,CS,2006-07-05,"5620 Kyle Roads, West Richardfurt, NH 64328",427,85.4,85.4,3.42
ENR024,Patty,Amy,Male,CS,2002-10-01,"567 Jay Stream Apt. 765, Christinabury, PA 70740",444,88.8,88.8,3.55
ENR025,Paul,Andrea,Female,CE,2006-12-31,"321 William Stravenue, Christyton, MI 83851",476,95.2,95.2,3.81
ENR026,Kirsten,Laura,Male,IT,2002-02-24,"27052 Lopez Trail Suite 817, Port Hunterfurt, FL 56655",471,94.2,94.2,3.77
ENR027,Miranda,Christopher,Female,BBA,2006-11-09,"0576 Scott Flats Apt. 303, Millerside, MD 42438",447,89.4,89.4,3.58
ENR028,Ronnie,Tammy,Male,CE,2000-03-21,"0834 Thomas Inlet Suite 959, South Jodiburgh, SD 26904",403,80.6,80.6,3.22
ENR029,John,Joyce,Female,CS,2000-07-08,"291 John Inlet, Lake Tammytown, SD 98663",424,84.8,84.8,3.39
ENR030,Deborah,Stephanie,Male,IT,2007-09-06,"676 Nicholas Passage Suite 995, Joseshire, WV 65647",460,92.0,92.0,3.68
ENR031,Peter,Amanda,Male,BBA,2006-03-06,"9570 Patricia Well Suite 698, Samuelburgh, DC 62745",475,95.0,95.0,3.8
ENR032,Jaclyn,Steven,Female,CS,2000-03-14,"56487 Kline View Apt. 467, Bradfordmouth, RI 70762",428,85.6,85.6,3.42
ENR033,Shawn,Helen,Male,EE,2000-07-24,"32033 Jason Track Suite 281, Lake Amber, KY 65097",402,80.4,80.4,3.22
ENR034,Rebecca,Jeremy,Female,BBA,2001-04-02,"4454 Foster Dam Suite 734, East Juanmouth, WY 99351",493,98.6,98.6,3.94
ENR035,Katherine,Adam,Male,CE,2002-08-05,"6359 Blake Locks, Jonesshire, MO 57454",401,80.2,80.2,3.21
ENR036,Heather,Karen,Female,CE,2003-11-13,"2511 David Divide, Port Jamesbury, GA 40992",459,91.8,91.8,3.67
ENR037,Tammy,Corey,Female,IT,2002-07-08,"7974 Jimenez Motorway Apt. 785, South Keithfurt, NH 32805",472,94.4,94.4,3.78
ENR038,Ryan,Michael,Male,IT,2003-01-28,"573 Jason Square Suite 325, South Patrickhaven, TX 59447",403,80.6,80.6,3.22
ENR039,Christine,Jennifer,Female,ME,2000-04-12,"36635 Linda Mews Apt. 763, Mosesfurt, NC 21131",442,88.4,88.4,3.54
ENR040,James,Chelsea,Female,CS,2003-02-19,"06381 Jimmy Knoll Apt. 234, Port Bonniehaven, KY 55344",452,90.4,90.4,3.62
ENR041,Eric,Amy,Male,CS,2006-01-05,"08735 Jones Parks Suite 727, Stephenshire, CO 75136",487,97.4,97.4,3.9
ENR042,Benjamin,Rick,Female,IT,2004-11-04,"391 Dickson Plaza Apt. 038, West Kenneth, WI 54185",400,80.0,80.0,3.2
ENR043,Pam,Brittany,Male,CS,2005-12-07,"353 Emily Overpass, Huffberg, OR 07576",475,95.0,95.0,3.8
ENR044,Charles,David,Female,CS,2006-09-13,"30345 Ellis Throughway, Port Deniseville, PA 97271",488,97.6,97.6,3.9
ENR045,Brittany,Antonio,Female,BBA,2002-10-16,"532 Sarah Freeway, Rachaelside, IN 17949",498,99.6,99.6,3.98
ENR046,Kayla,Andrew,Male,IT,2001-11-27,"8591 Mclaughlin Common Suite 325, South Allison, MN 61296",476,95.2,95.2,3.81
ENR047,Shaun,Bradley,Male,CS,2002-08-06,"0126 Andrea Bypass, Johnnyview, IL 39930",405,81.0,81.0,3.24
ENR048,Donald,Eric,Male,ME,2000-10-30,"5438 Lindsey Flat Apt. 065, Erinborough, CO 85421",409,81.8,81.8,3.27
